country,year,currency,inflation rate
China,1993,CNY,14.61007864
China,1994,CNY,24.25698972
China,1995,CNY,16.79122517
China,1996,CNY,8.313160289
China,1997,CNY,2.786465055
China,1998,CNY,-0.773186012
China,1999,CNY,-1.401472683
China,2000,CNY,0.347811227
China,2001,CNY,0.719125609
China,2002,CNY,-0.731970902
China,2003,CNY,1.127603487
China,2004,CNY,3.824637431
China,2005,CNY,1.776414077
China,2006,CNY,1.649430995
China,2007,CNY,4.816767674
China,2008,CNY,5.92525137
China,2009,CNY,-0.728165251
China,2010,CNY,3.175324753
China,2011,CNY,5.553898923
China,2012,CNY,2.619524326
China,2013,CNY,2.621050017
China,2014,CNY,1.921641628
China,2015,CNY,1.437023809
China,2016,CNY,2.000001822
China,2017,CNY,1.593136001
China,2018,CNY,2.0747904
China,2019,CNY,2.899234164
China,2020,CNY,2.419421895
China,2021,CNY,0.981015136
European Union,1993,EUR,4.854166667
European Union,1994,EUR,4.71841374
European Union,1995,EUR,4.426645503
European Union,1996,EUR,3.558845593
European Union,1997,EUR,3.11207792
European Union,1998,EUR,2.415517872
European Union,1999,EUR,2.157179181
European Union,2000,EUR,3.15076707
European Union,2001,EUR,3.373968322
European Union,2002,EUR,2.424436612
European Union,2003,EUR,2.09199839
European Union,2004,EUR,2.286217068
European Union,2005,EUR,2.487696652
European Union,2006,EUR,2.666314946
European Union,2007,EUR,2.510665652
European Union,2008,EUR,4.164971935
European Union,2009,EUR,0.839262247
European Union,2010,EUR,1.531122704
European Union,2011,EUR,3.289449396
European Union,2012,EUR,2.662841655
European Union,2013,EUR,1.219993423
European Union,2014,EUR,0.199343827
European Union,2015,EUR,-0.06164468
European Union,2016,EUR,0.183334861
European Union,2017,EUR,1.429107433
European Union,2018,EUR,1.73860862
European Union,2019,EUR,1.630522608
European Union,2020,EUR,0.476498853
European Union,2021,EUR,2.554506996
Russian Federation,1993,RUB,874.2457204
Russian Federation,1994,RUB,307.7226356
Russian Federation,1995,RUB,197.4142681
Russian Federation,1996,RUB,47.7520122
Russian Federation,1997,RUB,14.76132927
Russian Federation,1998,RUB,27.68567981
Russian Federation,1999,RUB,85.7464941
Russian Federation,2000,RUB,20.79876066
Russian Federation,2001,RUB,21.47700721
Russian Federation,2002,RUB,15.78873079
Russian Federation,2003,RUB,13.66329302
Russian Federation,2004,RUB,10.88861573
Russian Federation,2005,RUB,12.68530395
Russian Federation,2006,RUB,9.668654548
Russian Federation,2007,RUB,9.007298689
Russian Federation,2008,RUB,14.11076778
Russian Federation,2009,RUB,11.64732958
Russian Federation,2010,RUB,6.849392303
Russian Federation,2011,RUB,8.440464859
Russian Federation,2012,RUB,5.074743008
Russian Federation,2013,RUB,6.753710262
Russian Federation,2014,RUB,7.823411839
Russian Federation,2015,RUB,15.53440505
Russian Federation,2016,RUB,7.04244763
Russian Federation,2017,RUB,3.683329444
Russian Federation,2018,RUB,2.878297236
Russian Federation,2019,RUB,4.470366608
Russian Federation,2020,RUB,3.381659372
Russian Federation,2021,RUB,6.69445892
United States,1993,USD,2.951656966
United States,1994,USD,2.607441592
United States,1995,USD,2.805419689
United States,1996,USD,2.9312042
United States,1997,USD,2.337689937
United States,1998,USD,1.552279099
United States,1999,USD,2.188027197
United States,2000,USD,3.376857271
United States,2001,USD,2.826171119
United States,2002,USD,1.586031627
United States,2003,USD,2.270094973
United States,2004,USD,2.677236693
United States,2005,USD,3.392746845
United States,2006,USD,3.225944101
United States,2007,USD,2.852672482
United States,2008,USD,3.839100297
United States,2009,USD,-0.355546266
United States,2010,USD,1.640043442
United States,2011,USD,3.156841569
United States,2012,USD,2.069337265
United States,2013,USD,1.464832656
United States,2014,USD,1.622222977
United States,2015,USD,0.118627136
United States,2016,USD,1.261583206
United States,2017,USD,2.130110004
United States,2018,USD,2.442583297
United States,2019,USD,1.812210075
United States,2020,USD,1.233584396
United States,2021,USD,4.697858864